EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,14,12,9,9,4,0,88,76,63,30.43,30.32,30.23,10,4,1,17,9,22,0.08,8,Snow,43
2014-1-2,13,5,-3,7,4,-8,76,70,63,30.37,30.21,30.14,9,4,0,22,13,30,0.01,7,Snow,24
2014-1-3,13,1,-11,2,-5,-14,83,68,53,30.47,30.36,30.08,10,10,5,23,10,32,0.00,1,Snow,205
2014-1-4,31,22,13,27,18,3,92,73,53,30.05,29.97,29.87,10,6,1,28,15,36,0.12,5,Snow,203
2014-1-5,29,23,16,27,21,11,92,86,80,30.04,29.89,29.68,4,1,0,22,11,30,0.78,8,Fog-Snow,9
2014-1-6,16,2,-12,11,-4,-18,80,73,65,30.10,29.90,29.69,10,2,0,31,18,40,0.07,8,Fog-Snow,262
2014-1-7,2,-5,-13,-6,-13,-18,78,72,65,30.33,30.16,30.02,10,6,1,25,15,31,T,6,Snow,220
2014-1-8,17,8,-1,7,1,-6,88,78,67,30.54,30.40,30.26,10,10,8,15,7,18,T,5,Snow,236
2014-1-9,21,12,2,18,8,0,88,75,62,30.61,30.46,30.27,10,7,2,14,6,17,0.01,7,Snow,147
2014-1-10,39,30,21,37,28,19,100,92,84,30.26,30.04,29.62,9,3,0,17,10,22,0.39,8,Fog-Rain-Snow,160
2014-1-11,41,37,32,39,35,26,100,89,78,29.67,29.46,29.34,10,6,0,26,14,36,0.16,8,Fog-Rain,230
2014-1-12,39,35,31,28,26,24,78,69,59,29.93,29.79,29.64,10,10,9,24,14,33,0.00,4,,220
2014-1-13,44,39,34,33,30,27,82,72,62,29.69,29.61,29.52,10,10,8,22,12,26,0.00,3,Rain,220
2014-1-14,37,32,26,30,24,17,92,49,5,29.78,29.70,29.65,10,7,1,28,12,37,0.01,5,Rain-Snow,210
2014-1-15,27,23,18,21,16,9,81,74,67,30.02,29.87,29.66,10,8,1,31,14,43,T,8,Snow,254
2014-1-16,28,22,16,25,19,9,92,80,67,29.92,29.67,29.58,10,4,1,23,14,28,0.08,8,Snow,175
2014-1-17,30,23,15,25,17,9,85,76,67,29.94,29.78,29.58,10,10,4,21,12,29,T,8,Snow,255
2014-1-18,21,17,13,12,11,8,80,74,67,29.93,29.89,29.82,10,7,2,16,9,21,T,8,Snow,198
2014-1-19,29,20,11,24,16,8,92,80,68,29.83,29.65,29.52,10,8,5,31,15,39,T,7,,224
2014-1-20,30,20,9,25,15,-2,85,74,62,30.12,29.82,29.49,10,7,2,18,8,23,0.01,8,Rain-Snow,344
2014-1-21,9,2,-5,-6,-8,-10,72,64,55,30.27,30.22,30.13,10,10,10,16,6,21,0.00,3,,355
2014-1-22,11,4,-3,5,1,-9,83,76,68,30.22,30.00,29.88,10,4,1,18,10,23,0.05,8,Snow,191
2014-1-23,13,6,-2,3,0,-6,87,70,52,30.51,30.28,29.97,10,8,2,15,7,18,T,5,Snow,313
2014-1-24,19,9,-1,13,1,-8,83,68,53,30.45,30.13,29.48,10,5,2,31,18,38,T,7,Snow,224
2014-1-25,25,14,3,21,11,-4,96,75,54,29.80,29.43,29.27,10,4,0,24,14,29,0.07,8,Fog-Snow,297
2014-1-26,25,14,2,19,8,-2,95,83,70,29.79,29.52,29.38,10,4,0,25,11,32,0.23,7,Snow,238
2014-1-27,15,5,-6,10,-3,-12,82,71,59,30.33,29.93,29.46,10,5,0,23,13,31,0.04,6,Snow,285
2014-1-28,8,0,-9,-2,-8,-13,87,74,60,30.37,30.29,30.18,10,9,2,24,13,30,T,2,Snow,225
2014-1-29,19,8,-3,4,-3,-9,79,67,54,30.19,30.12,30.03,10,9,4,30,15,36,T,4,Snow,224
2014-1-30,28,20,12,25,12,2,92,71,50,30.11,29.87,29.74,10,7,0,26,17,36,0.03,6,Fog-Snow,198
2014-1-31,31,26,21,27,19,13,92,76,60,30.16,30.04,29.81,10,10,7,16,7,21,T,5,Rain,263
2014-2-1,28,23,18,25,21,16,96,82,68,30.15,29.95,29.83,8,2,0,10,5,12,0.37,8,Fog-Snow,22
2014-2-2,23,14,5,18,14,3,91,78,65,30.31,30.16,29.98,10,8,5,15,6,18,T,6,,293
2014-2-3,22,6,-10,14,1,-15,96,77,57,30.41,30.36,30.32,10,6,0,10,1,12,0.00,1,Fog,267
2014-2-4,25,15,5,14,9,1,92,76,60,30.47,30.37,30.14,10,7,2,13,3,17,T,4,Snow,58
2014-2-5,22,15,8,16,13,2,84,70,56,30.40,30.11,29.97,10,3,0,21,11,26,0.27,7,Fog-Snow,11
2014-2-6,18,12,5,12,6,-1,84,75,66,30.41,30.29,30.22,10,4,0,23,11,28,0.01,8,Snow,242
2014-2-7,14,8,2,4,-1,-6,87,74,61,30.33,30.30,30.23,10,8,2,28,14,32,T,6,Snow,227
2014-2-8,18,9,0,10,6,-6,92,80,68,30.34,30.24,30.16,10,5,1,14,7,21,0.04,7,Snow,212
2014-2-9,22,17,12,14,10,8,84,76,67,30.20,30.08,30.01,10,4,0,17,7,22,0.03,8,Snow,260
2014-2-10,18,12,5,10,6,1,92,77,61,30.43,30.29,30.21,10,6,1,17,7,,T,6,Snow,278
2014-2-11,16,10,3,1,-2,-5,76,64,51,30.54,30.49,30.40,10,10,7,9,3,12,0.00,4,Snow,79
2014-2-12,23,10,-3,7,0,-6,87,66,44,30.47,30.29,30.09,10,10,4,13,6,14,0.00,3,,178
2014-2-13,31,24,16,16,9,5,67,50,32,30.08,29.84,29.51,10,9,5,18,8,24,T,6,Snow,162
2014-2-14,27,23,19,23,17,13,84,76,68,29.86,29.62,29.43,9,5,1,18,10,24,T,8,Snow,270
2014-2-15,21,11,1,10,3,-3,87,72,56,30.09,30.02,29.83,10,10,8,15,6,22,0.00,1,,301
2014-2-16,23,14,4,14,11,1,91,77,62,30.40,30.07,29.92,10,5,1,12,5,14,0.02,6,Snow,311
2014-2-17,20,11,2,16,10,-2,92,74,56,30.40,29.91,29.63,10,4,0,25,12,31,0.15,6,Fog-Snow,110
2014-2-18,42,29,16,27,17,12,84,69,53,30.00,29.82,29.64,10,6,1,22,12,28,0.08,5,Snow,249
2014-2-19,44,37,30,30,27,24,78,64,49,30.04,29.82,29.62,10,8,1,20,10,22,0.01,2,Snow,255
2014-2-20,43,36,29,41,32,25,100,85,70,30.05,29.67,29.34,9,4,0,23,11,29,0.63,7,Fog-Rain-Snow,118
2014-2-21,45,37,29,39,24,10,96,70,43,29.74,29.50,29.36,10,10,5,41,24,53,T,6,Snow,226
2014-2-22,33,28,23,17,12,8,59,49,38,30.01,29.89,29.74,10,10,10,29,18,37,0.00,1,,242
2014-2-23,26,22,18,13,11,9,74,62,50,30.10,30.07,30.01,10,10,10,25,16,31,0.00,1,,260
2014-2-24,22,18,14,12,10,5,80,69,57,30.21,30.14,30.08,10,7,2,28,15,32,T,8,Snow,282
2014-2-25,22,16,9,12,8,2,80,71,62,30.20,30.09,30.00,10,7,0,25,11,31,T,8,Fog-Snow,261
2014-2-26,14,8,1,5,-1,-7,87,67,46,30.14,29.95,29.57,10,9,1,25,14,31,T,5,Snow,257
2014-2-27,12,2,-8,9,0,-13,83,66,49,30.27,29.77,29.49,10,4,0,25,11,32,0.06,6,Fog-Snow,293
2014-2-28,18,4,-11,7,-6,-17,79,63,46,30.35,30.25,30.10,10,10,2,18,9,23,0.00,2,,147
2014-3-1,24,19,13,18,14,7,88,75,61,30.32,30.15,30.03,10,4,1,13,5,32,0.25,8,Snow,307
2014-3-2,14,7,-1,7,2,-8,84,68,52,30.42,30.33,30.25,10,7,1,15,5,,0.07,6,Snow,25
2014-3-3,13,2,-9,-3,-8,-12,83,63,42,30.54,30.48,30.43,10,10,9,9,2,20,0.00,0,Snow,355
2014-3-4,19,12,5,6,-1,-5,76,60,43,30.43,30.32,30.24,10,10,6,13,4,21,T,8,Snow,206
2014-3-5,20,14,7,10,7,3,88,71,54,30.56,30.44,30.30,10,10,8,14,8,,T,5,,32
2014-3-6,29,15,0,11,5,-2,95,69,42,30.55,30.39,30.18,10,10,8,16,8,20,0.00,0,,110
2014-3-7,44,29,13,25,16,8,80,58,36,30.16,30.02,29.92,10,10,8,18,7,23,0.00,2,,196
2014-3-8,39,30,20,29,23,14,82,68,54,30.21,30.07,29.91,10,7,2,14,7,20,0.02,7,Rain-Snow,343
2014-3-9,36,24,12,28,17,8,88,70,51,30.25,30.09,29.80,10,10,7,22,12,30,0.00,0,,230
2014-3-10,50,43,36,33,31,28,76,63,50,29.80,29.67,29.56,10,8,5,21,13,26,0.00,1,,231
2014-3-11,47,41,35,36,33,31,92,73,53,29.78,29.71,29.65,10,9,6,13,5,20,0.07,6,Rain,292
2014-3-12,35,21,7,30,20,-2,100,78,55,30.08,29.78,29.66,10,4,0,28,13,35,0.52,6,Fog-Snow,22
2014-3-13,25,10,-5,14,2,-8,83,60,28,30.19,30.09,29.95,10,10,10,17,7,20,0.00,4,,234
2014-3-14,49,36,22,31,26,14,75,61,46,29.92,29.70,29.53,10,10,10,31,18,39,T,2,,223
2014-3-15,38,29,19,30,21,8,76,61,46,30.33,30.01,29.74,10,10,10,18,11,26,T,6,,307
2014-3-16,22,15,8,8,5,-1,73,65,56,30.45,30.38,30.25,10,10,10,18,11,23,0.00,1,,33
2014-3-17,31,19,6,13,4,0,80,58,36,30.25,30.07,29.93,10,10,10,15,8,20,0.00,1,,95
2014-3-18,45,34,22,30,22,13,77,65,53,30.02,29.97,29.87,10,10,10,18,9,23,0.00,1,,127
2014-3-19,44,38,32,41,35,27,96,83,70,29.88,29.68,29.58,10,5,2,28,13,33,0.24,8,Rain,196
2014-3-20,37,31,25,30,24,18,85,69,52,30.09,29.96,29.84,10,9,4,23,13,30,T,7,Snow,275
2014-3-21,43,31,19,34,24,17,92,69,46,30.10,29.97,29.74,10,8,2,18,7,24,0.22,2,Rain,144
2014-3-22,39,30,21,36,28,11,96,78,59,30.29,29.99,29.69,10,7,2,17,11,23,T,7,Rain-Snow,304
2014-3-23,25,19,12,12,7,3,67,57,46,30.43,30.38,30.30,10,10,10,17,9,21,T,3,,322
2014-3-24,30,21,11,13,9,6,84,63,42,30.38,30.27,30.10,10,10,5,23,8,28,T,4,Snow,246
2014-3-25,29,22,14,20,14,6,88,67,46,30.21,29.99,29.91,10,7,1,24,12,31,0.02,6,Snow,267
2014-3-26,32,21,9,15,9,4,83,61,39,30.38,30.28,30.17,10,10,7,15,6,29,0.00,2,,227
2014-3-27,44,37,30,38,27,16,85,66,47,30.12,29.91,29.60,10,7,1,20,13,28,0.16,8,Rain-Snow,170
2014-3-28,49,41,32,44,36,29,89,80,71,30.22,29.80,29.50,10,9,4,31,13,39,0.08,8,Rain,247
2014-3-29,38,32,26,29,26,21,85,72,59,30.23,30.20,30.12,10,10,8,23,11,29,0.00,6,,33
2014-3-30,49,36,23,25,22,19,88,61,34,30.26,30.21,30.13,10,10,10,10,4,16,0.00,0,,360
2014-3-31,60,46,31,33,28,22,64,49,33,30.19,30.10,29.91,10,10,10,22,12,28,0.00,0,,142
2014-4-1,54,44,34,40,31,24,71,59,46,30.04,29.86,29.72,10,10,7,31,16,39,0.07,6,Rain,224
2014-4-2,51,40,28,28,25,22,75,57,39,30.21,30.16,30.06,10,10,10,10,5,18,0.00,0,,325
2014-4-3,41,37,33,30,27,22,82,69,56,30.19,30.04,29.86,10,10,10,26,12,33,0.04,8,Rain,75
2014-4-4,46,40,33,43,35,28,100,88,75,29.81,29.58,29.42,10,5,0,32,15,43,0.26,8,Fog-Rain-Snow,195
2014-4-5,48,39,30,26,22,19,75,55,34,30.21,30.07,29.81,10,10,10,26,11,35,0.00,4,,290
2014-4-6,55,41,26,26,22,19,75,51,26,30.22,30.14,30.03,10,10,10,15,4,20,0.00,0,,187
2014-4-7,55,43,31,35,28,23,72,54,35,30.03,29.79,29.56,10,10,9,15,6,28,T,3,Rain,62
2014-4-8,61,49,36,33,29,24,64,47,30,29.86,29.67,29.54,10,10,10,20,9,25,T,5,,312
2014-4-9,58,45,31,32,25,20,70,49,28,30.03,29.96,29.88,10,10,10,20,8,24,0.00,1,,279
2014-4-10,67,54,41,39,35,32,59,47,34,29.91,29.79,29.66,10,10,10,30,15,38,T,1,,232
2014-4-11,66,50,33,34,26,18,89,54,18,30.04,30.00,29.91,10,10,10,25,4,32,0.00,1,,272
2014-4-12,72,56,39,45,35,27,86,54,22,30.08,29.97,29.82,10,10,9,35,8,48,T,5,Rain,96
2014-4-13,72,61,50,57,51,45,87,70,53,29.89,29.73,29.58,10,9,2,25,11,49,0.27,7,Rain,181
2014-4-14,64,46,27,58,39,25,92,79,65,29.88,29.66,29.38,10,7,1,35,15,43,0.16,8,Rain-Snow,280
2014-4-15,34,29,24,25,17,6,88,62,36,30.27,29.98,29.85,10,7,1,22,12,30,0.01,7,Snow,310
2014-4-16,46,34,21,23,17,12,77,54,31,30.45,30.37,30.28,10,10,10,20,8,32,0.00,0,,147
2014-4-17,66,49,32,36,28,20,69,48,27,30.35,30.28,30.20,10,10,10,23,11,40,0.00,0,,169
2014-4-18,61,50,38,43,36,29,83,59,35,30.38,30.29,30.25,10,8,3,21,6,44,0.01,4,Rain,320
2014-4-19,60,45,30,31,27,21,92,57,22,30.49,30.41,30.33,10,10,8,15,8,21,0.00,0,,93
2014-4-20,73,56,38,35,29,26,64,41,17,30.35,30.23,30.09,10,10,10,15,7,25,0.00,0,,177
2014-4-21,78,67,56,55,41,31,93,61,28,30.07,29.91,29.76,10,9,2,23,9,27,0.16,6,Rain,223
2014-4-22,57,46,35,55,38,26,93,71,49,30.01,29.82,29.69,10,8,3,26,14,35,T,7,Rain,306
2014-4-23,56,44,31,29,23,16,85,54,22,30.15,30.10,30.01,10,10,10,15,6,23,0.00,1,,342
2014-4-24,58,48,37,32,23,16,67,46,24,30.16,30.06,29.88,10,10,10,22,12,29,T,4,Rain,128
2014-4-25,60,51,41,42,35,19,92,63,34,29.83,29.76,29.70,10,8,3,17,8,27,0.16,5,Rain,307
2014-4-26,55,46,37,38,33,30,85,66,46,30.12,29.95,29.81,10,10,9,18,10,23,0.00,1,,341
2014-4-27,57,45,33,33,30,27,82,60,38,30.20,30.13,30.07,10,10,9,21,11,27,0.00,3,,85
2014-4-28,57,47,37,35,32,28,70,56,41,30.05,29.91,29.78,10,10,10,29,16,40,T,5,Rain,84
2014-4-29,75,61,47,53,45,36,93,59,25,29.79,29.63,29.55,10,8,2,26,12,34,0.22,6,Rain,143
2014-4-30,64,55,46,50,48,42,89,73,56,29.80,29.76,29.73,10,10,5,21,11,25,T,7,Rain,195
2014-5-1,50,45,40,43,39,36,89,75,61,29.81,29.75,29.72,10,8,2,22,13,31,0.21,7,Rain,235
2014-5-2,52,48,44,45,43,41,93,82,71,29.80,29.77,29.71,10,8,3,20,13,26,0.07,8,Rain,237
2014-5-3,58,52,45,44,40,31,93,68,43,29.84,29.72,29.63,10,8,4,32,13,41,0.08,7,Rain,237
2014-5-4,56,49,42,39,32,27,83,58,32,30.11,29.95,29.84,10,10,10,26,9,34,T,4,Rain,312
2014-5-5,58,47,36,38,34,31,79,61,43,30.12,30.05,29.98,10,10,10,10,3,16,T,3,,73
2014-5-6,63,50,37,39,36,34,92,64,36,30.12,30.06,30.02,10,10,10,17,9,24,0.00,0,,68
2014-5-7,64,53,42,51,43,34,92,76,60,30.10,30.03,29.94,10,9,2,24,12,30,0.43,4,Rain-Thunderstorm,94
2014-5-8,86,67,47,63,54,43,80,62,44,29.97,29.91,29.83,10,10,10,17,9,23,0.00,0,,168
2014-5-9,76,66,56,60,56,45,81,64,46,29.85,29.76,29.67,10,10,10,33,15,44,T,3,,215
2014-5-10,69,58,47,44,40,36,80,56,32,30.01,29.92,29.83,10,10,10,25,11,32,0.00,0,,265
2014-5-11,82,61,40,57,46,38,83,57,31,30.06,30.00,29.93,10,10,8,20,6,24,0.01,1,,176
2014-5-12,70,65,59,67,63,55,93,86,78,29.99,29.96,29.92,10,7,0,16,8,28,1.45,6,Rain-Thunderstorm,102
2014-5-13,81,68,54,68,62,51,93,78,62,30.10,29.94,29.86,10,8,1,29,12,36,0.43,6,Rain,241
2014-5-14,58,52,45,50,47,42,92,82,71,30.16,30.09,30.00,10,9,4,16,7,24,0.47,7,Rain,343
2014-5-15,49,42,35,44,41,32,93,82,70,30.04,29.86,29.75,10,6,2,25,13,33,0.81,8,Rain,348
2014-5-16,52,43,34,36,33,30,89,71,52,30.06,30.02,29.99,10,10,10,12,7,23,0.00,6,,292
2014-5-17,56,47,37,36,33,27,85,60,35,30.19,30.11,30.05,10,10,10,23,6,31,0.00,6,,266
2014-5-18,67,54,41,38,34,30,73,51,29,30.26,30.22,30.19,10,10,10,18,10,24,0.00,1,,234
2014-5-19,70,59,47,45,37,34,66,47,28,30.30,30.22,30.12,10,10,8,20,8,27,0.09,1,Rain,188
2014-5-20,80,67,53,61,52,43,89,71,53,30.20,29.96,29.86,10,10,6,20,11,26,0.03,5,Rain,165
2014-5-21,82,71,59,66,59,48,93,64,35,29.89,29.85,29.81,10,9,4,18,7,26,0.05,4,Rain-Thunderstorm,259
2014-5-22,70,62,53,54,49,43,86,65,44,30.09,30.00,29.88,10,10,7,21,9,26,0.00,3,,324
2014-5-23,71,59,46,49,45,40,77,61,44,30.18,30.14,30.10,10,10,10,17,7,21,0.00,3,,322
2014-5-24,77,62,46,50,47,44,93,63,33,30.23,30.18,30.14,10,10,8,9,2,14,0.00,1,,295
2014-5-25,81,66,51,54,50,48,89,61,33,30.18,30.13,30.05,10,10,10,15,4,21,0.00,0,,223
2014-5-26,85,71,56,63,55,50,80,56,32,30.07,30.01,29.93,10,10,10,20,8,27,0.00,0,,241
2014-5-27,81,74,66,68,65,62,93,76,58,29.98,29.92,29.86,10,9,6,24,9,29,0.11,5,Rain-Thunderstorm,264
2014-5-28,70,62,53,65,57,50,93,78,63,30.12,30.01,29.90,10,9,4,15,7,19,T,6,,37
2014-5-29,75,61,47,55,52,46,93,71,49,30.17,30.14,30.10,10,10,10,13,5,18,0.00,0,,62
2014-5-30,83,68,52,55,51,48,89,61,33,30.23,30.18,30.15,10,9,5,9,2,14,0.00,0,,66
2014-5-31,85,71,56,55,53,47,86,60,34,30.25,30.19,30.12,10,10,10,20,6,24,0.00,0,,109
2014-6-1,86,72,57,55,49,40,62,47,32,30.19,30.08,29.96,10,10,10,16,10,22,0.00,0,,168
2014-6-2,82,76,69,70,65,51,90,72,53,29.98,29.88,29.82,10,8,1,29,13,36,0.65,4,Rain-Thunderstorm,203
2014-6-3,73,66,59,66,57,48,90,67,44,29.94,29.86,29.80,10,10,7,29,14,36,0.00,1,,251
2014-6-4,67,61,55,59,55,50,93,81,69,29.94,29.89,29.85,10,9,1,10,4,12,0.19,4,Rain,93
2014-6-5,76,62,47,52,45,40,93,61,29,29.98,29.94,29.87,10,10,10,16,5,21,0.00,0,,321
2014-6-6,79,65,50,50,46,40,86,56,25,30.02,29.99,29.96,10,10,10,10,2,14,0.00,0,,267
2014-6-7,82,68,53,56,49,44,89,60,30,30.07,29.98,29.88,10,10,10,15,5,20,0.00,0,,139
2014-6-8,78,69,59,58,53,47,87,63,39,30.01,29.91,29.82,10,9,3,15,7,19,0.20,4,Rain,45
2014-6-9,81,69,56,57,54,52,93,66,39,30.05,30.00,29.94,10,10,10,12,4,14,0.00,1,,44
2014-6-10,75,66,57,59,55,51,80,65,50,29.98,29.94,29.88,10,10,10,15,7,19,T,3,Rain,65
2014-6-11,79,69,58,66,62,54,97,81,64,29.86,29.76,29.71,10,5,0,14,6,19,2.75,8,Fog-Rain-Thunderstorm,97
2014-6-12,76,70,64,64,63,60,100,80,60,29.80,29.75,29.70,10,4,0,15,7,18,0.00,7,Fog,275
2014-6-13,65,56,47,60,48,43,93,72,51,30.05,29.90,29.78,10,10,10,20,9,26,0.00,4,,291
2014-6-14,75,60,45,48,44,40,93,61,29,30.16,30.11,30.06,10,10,7,13,4,17,0.00,0,,63
2014-6-15,82,67,52,58,52,48,83,58,33,30.13,30.04,29.94,10,10,10,24,11,33,0.00,1,,151
2014-6-16,86,76,66,65,60,55,79,58,37,30.07,30.01,29.95,10,10,10,15,8,20,0.00,2,,237
2014-6-17,87,76,65,68,63,57,79,61,42,29.97,29.90,29.81,10,10,7,29,12,37,0.00,0,,220
2014-6-18,78,71,64,68,65,61,93,80,67,30.08,30.00,29.86,10,8,0,41,7,57,1.44,6,Fog-Rain-Thunderstorm,86
2014-6-19,78,70,61,66,61,52,93,75,56,30.17,30.10,30.02,10,8,5,15,8,20,0.00,7,,53
2014-6-20,67,62,57,59,55,48,93,78,63,30.14,30.03,29.99,10,7,1,15,7,18,0.15,7,Rain,101
2014-6-21,80,69,57,62,57,54,93,71,48,30.03,29.98,29.90,10,9,3,8,3,10,T,5,,62
2014-6-22,82,73,63,64,60,53,81,67,53,29.97,29.92,29.87,10,10,10,14,7,20,0.00,4,,160
2014-6-23,78,70,61,70,64,50,93,73,53,29.95,29.90,29.86,10,8,2,12,7,15,0.50,5,Rain-Thunderstorm,170
2014-6-24,78,73,67,69,67,65,100,85,69,29.90,29.88,29.86,10,6,1,13,3,16,0.47,6,Rain,207
2014-6-25,73,67,61,66,64,59,100,87,73,30.03,29.95,29.89,10,5,0,13,6,16,0.00,5,Fog,28
2014-6-26,81,68,55,62,58,54,100,76,52,30.10,30.06,30.02,10,6,0,12,4,15,0.00,2,Fog,48
2014-6-27,83,72,60,63,60,56,93,70,47,30.12,30.09,30.06,10,10,8,13,7,24,0.00,1,,123
2014-6-28,84,76,67,70,66,57,87,73,58,30.12,30.08,30.02,10,8,3,21,8,26,0.04,1,Rain,151
2014-6-29,85,78,71,70,67,61,90,67,44,30.04,29.97,29.90,10,9,5,22,12,29,0.00,2,,195
2014-6-30,84,76,68,70,69,63,87,74,61,29.94,29.84,29.75,10,10,8,26,11,33,0.01,4,Rain,202
2014-7-1,83,74,65,66,62,56,93,67,40,29.75,29.70,29.56,10,9,2,23,12,31,0.41,4,Rain,236
2014-7-2,74,69,63,62,58,53,87,70,53,29.96,29.85,29.75,10,10,10,21,10,26,0.00,5,,255
2014-7-3,73,62,50,58,51,45,93,64,35,30.17,30.03,29.96,10,7,1,18,8,24,0.42,6,Rain,333
2014-7-4,75,63,51,54,49,43,100,67,33,30.31,30.26,30.18,10,6,0,14,5,20,0.00,1,Fog,326
2014-7-5,78,66,53,54,51,49,89,65,41,30.31,30.23,30.08,10,10,7,16,7,21,0.00,0,,212
2014-7-6,80,71,62,70,61,54,84,71,57,30.07,29.90,29.73,10,10,7,21,11,25,0.01,4,Rain,204
2014-7-7,83,76,68,71,66,55,90,66,42,29.73,29.69,29.63,10,8,1,24,12,32,1.89,6,Rain,248
2014-7-8,76,70,63,66,62,57,93,75,57,29.77,29.63,29.57,10,8,0,25,10,35,0.95,5,Fog-Rain-Thunderstorm,235
2014-7-9,73,65,56,60,57,52,93,73,53,30.04,29.89,29.78,10,10,10,13,5,17,0.00,7,,323
2014-7-10,75,64,53,56,53,50,93,69,45,30.20,30.15,30.06,10,10,10,10,4,14,0.00,0,,350
2014-7-11,79,68,56,60,56,53,93,69,45,30.25,30.20,30.14,10,10,6,14,4,19,0.00,1,,186
2014-7-12,83,73,62,69,63,59,87,71,55,30.16,30.05,29.87,10,10,8,20,8,25,T,3,Rain,192
2014-7-13,80,74,67,70,65,57,90,69,48,29.89,29.85,29.80,10,9,2,23,10,36,0.41,4,Rain,258
2014-7-14,77,68,59,63,60,53,93,70,46,29.88,29.83,29.77,10,8,1,13,4,15,0.23,4,Rain,270
2014-7-15,68,61,54,59,54,48,93,77,60,29.93,29.81,29.75,10,9,2,22,11,30,0.08,5,Rain,280
2014-7-16,70,61,51,53,50,48,93,73,52,30.03,29.97,29.92,10,10,10,16,7,23,T,7,Rain,291
2014-7-17,75,63,50,53,50,47,96,67,38,30.16,30.10,30.04,10,10,3,15,5,23,0.00,1,,264
2014-7-18,77,64,51,54,51,49,89,65,41,30.24,30.19,30.15,10,10,9,14,4,20,0.00,1,,156
2014-7-19,79,69,58,61,56,50,81,66,50,30.15,30.09,30.03,10,10,9,12,4,14,0.00,4,,93
2014-7-20,80,70,60,62,60,58,93,71,48,30.09,30.06,30.04,10,9,4,7,2,10,0.00,2,,104
2014-7-21,84,74,63,63,61,58,84,64,44,30.13,30.10,30.06,10,9,7,13,5,20,0.00,1,,193
2014-7-22,87,77,66,68,64,60,81,66,51,30.11,30.02,29.90,10,9,7,20,11,25,0.00,2,,201
2014-7-23,78,69,59,69,58,54,84,69,53,30.11,30.03,29.90,10,10,8,18,10,25,T,5,Rain,352
2014-7-24,74,64,54,55,51,47,93,66,38,30.16,30.12,30.06,10,10,10,10,4,16,0.00,2,,10
2014-7-25,77,64,51,56,53,50,93,68,43,30.09,30.02,29.96,10,10,10,15,6,19,0.00,1,,215
2014-7-26,79,70,60,65,60,57,90,74,58,29.96,29.86,29.80,10,10,6,14,8,17,T,3,,221
2014-7-27,82,71,60,69,63,57,100,79,58,29.80,29.74,29.60,10,5,0,26,6,34,0.36,4,Fog-Rain-Thunderstorm,258
